LInk;Tail;Head;Polarity;Delay;Biome;Regime Shift;Scale
1;Agriculture;Land conversion;1;0;Dry lands;Desertification;
2;Land conversion;Croplands;1;0;Dry lands;Desertification;
3;Croplands;Water use;1;0;Dry lands;Desertification;
4;Water use;Water deficit;1;0;Dry lands;Desertification;
5;Water use;Water infrastructure development;1;0;Dry lands;Desertification;
6;Water infrastructure development;Biomass productivity;1;0;Dry lands;Desertification;
7;Biomass productivity;Vegetation cover;-1;0;Dry lands;Desertification;
8;Vegetation cover;Soil erosion;-1;0;Dry lands;Desertification;
9;Vegetation cover;Albedo;-1;0;Dry lands;Desertification;
10;Vegetation cover;Seeds;1;0;Dry lands;Desertification;
11;Vegetation cover;Microclimate T;-1;0;Dry lands;Desertification;
12;Soil erosion;Soil quality;-1;0;Dry lands;Desertification;
13;Soil quality;Biomass productivity;1;0;Dry lands;Desertification;
14;Soil erosion;Bare soils;1;0;Dry lands;Desertification;
15;Bare soils;Albedo;1;0;Dry lands;Desertification;
16;Albedo;Temperature;1;0;Dry lands;Desertification;
17;Temperature;Cloud formation;-1;0;Dry lands;Desertification;
18;Cloud formation;Precipitation;1;0;Dry lands;Desertification;
19;Precipitation;Water deficit;-1;0;Dry lands;Desertification;
20;Water deficit;Fire;1;0;Dry lands;Desertification;
21;Water deficit;Vegetation cover;-1;0;Dry lands;Desertification;
22;Fire;Vegetation cover;-1;0;Dry lands;Desertification;
23;Seeds;Plants;1;0;Dry lands;Desertification;
24;Plants;Roots;1;0;Dry lands;Desertification;
25;Roots;Soil moisture;1;0;Dry lands;Desertification;
26;Soil moisture;Soil nutrients;1;0;Dry lands;Desertification;
27;Soil moisture;Fire;-1;0;Dry lands;Desertification;
28;Soil nutrients;Vegetation cover;1;0;Dry lands;Desertification;
29;Soil nutrients;Plants;1;0;Dry lands;Desertification;
30;Production intensification;Water use;1;0;Dry lands;Desertification;
31;Microclimate T;Evapotranspiration;1;0;Dry lands;Desertification;
32;Evapotranspiration;Precipitation;1;0;Dry lands;Desertification;
33;GHG;Climate change;1;0;Dry lands;Desertification;
34;Climate change;Temperature;1;0;Dry lands;Desertification;
35;Temperature;Evapotranspiration;1;0;Dry lands;Desertification;
36;Climate change;Droughts and dry spells;1;0;Dry lands;Desertification;
37;Droughts and dry spells;Precipitation;-1;0;Dry lands;Desertification;
38;Human population;Demand for food and fiber;1;0;Dry lands;Bush encroachment;
39;Demand for food and fiber;Ranching;1;0;Dry lands;Bush encroachment;
40;Demand for food and fiber;Agriculture;1;0;Dry lands;Bush encroachment;
41;Ranching;Grazers;1;0;Dry lands;Bush encroachment;
42;Grazers;Grass;-1;0;Dry lands;Bush encroachment;
43;Grass;Grazers;1;0;Dry lands;Bush encroachment;
44;Agriculture;Irrigation;1;0;Dry lands;Bush encroachment;
